id,modulo,rota,stub,uc,rf,prioridade,tipo,titulo_pt,titulo_en,criterio_pt,criterio_en,status,testado_por,data_teste,devolucoes,ultima_devolucao,referencia,observacoes
QA-ED-14,ed-refrao,CN > Programação,Informa.CentralNegocios/Editor/Editor.cs,PR #274,,media,dados,Refrão removido não exibe o ícone indevidamente,A removed chorus does not show the icon by mistake,"Sem refrão marcado o ícone some da programação, mesmo com um dos pontos em zero","With no chorus marked the icon disappears from the schedule, even with one point at zero",liberada,Mateus Batalha,2026-09-09,0,,,Icone de refrão exibido apenas diretamente no Player
QA-ED-15,ed-carimbos,Editor,Informa.CentralNegocios/Editor/Editor.cs,PR #274,,alta,integracao,Editor recebe a lista de carimbos disponíveis,The editor receives the list of available stamps,"Ao solicitar, o editor recebe as vinhetas cadastradas com nome, código e duração","On request, the editor receives the registered jingles with name, code and duration",devolvida,Mateus Batalha,2026-09-09,1,2026-09-09,,Nenhum evento é exibido para utilizar no Carimbo.
QA-ED-16,ed-carimbos,Editor,Informa.CentralNegocios/Editor/Editor.cs,PR #274,,media,dados,"Carimbo comum, hora certa e temperatura chegam diferenciados","Regular, time-check and temperature stamps arrive distinguished",O editor consegue separar carimbo convencional de hora certa e de temperatura,The editor can tell a regular stamp from a time check and a temperature one,devolvida,Mateus Batalha,2026-09-09,1,2026-09-09,,Nenhum evento é exibido para utilizar no Carimbo.
QA-ED-17,ed-carimbos,Editor,Informa.CentralNegocios/Editor/Editor.cs,PR #274,,alta,funcional,Posicionar o carimbo sobre a mídia,Place the stamp over the media,"O carimbo toca na posição marcada, e a posição persiste após salvar","The stamp plays at the marked position, and the position persists after saving",devolvida,Mateus Batalha,2026-09-15,1,2026-09-15,,Carimbo não i
QA-ED-18,ed-carimbos,CN > Programação,Informa.CentralNegocios/Editor/Editor.cs,PR #274,,media,interface,Item com carimbo é sinalizado na programação,An item with a stamp is flagged in the schedule,"A programação mostra que aquele item tem carimbo, sem precisar abrir o editor","The schedule shows that the item has a stamp, with no need to open the editor",nao_testado,,,0,,,
QA-ED-19,ed-passagem,CN > Programação,Informa.CentralNegocios/View/Componentes/UcBotaoBasico2.xaml,PR #571,,alta,funcional,Alternar o modo do editor entre mídia única e passagem,Switch the editor mode between single media and segue,O botão de modo troca entre editar uma mídia e editar a passagem entre eventos,The mode button switches between editing one media and editing the segue between events,liberada,Mateus Batalha,2026-09-09,0,,,
QA-ED-20,ed-passagem,Editor,Informa.CentralNegocios/ViewModel/Programacao/ViewModelProgramacao.cs,PR #571,,alta,funcional,Editar a passagem entre dois eventos consecutivos,Edit the segue between two consecutive events,Os dois eventos chegam ao editor e a transição entre eles pode ser ajustada,Both events reach the editor and the transition between them can be adjusted,liberada,Mateus Batalha,2026-09-09,0,,,
QA-ED-21,ed-passagem,Editor,Informa.CentralNegocios/ViewModel/Programacao/ViewModelProgramacao.cs,PR #571,,media,funcional,Próximo evento válido é o escolhido para a passagem,The next valid event is the one chosen for the segue,Itens que não servem de par são pulados; a passagem monta com o evento correto,Items that cannot be paired are skipped; the segue is built with the right event,nao_testado,,,0,,,
QA-ED-22,ed-passagem,CN > Configuração,Informa.Business/ConfiguracaoPassagemBusiness.cs,PR #571,,media,funcional,Configuração de passagem é respeitada pelo editor,Segue configuration is honored by the editor,O que está configurado para a passagem vale ao abrir o editor nesse modo,What is configured for the segue applies when the editor opens in that mode,nao_testado,,,0,,,
QA-ED-23,ed-navegacao,Editor,Informa.CentralNegocios/ViewModel/Programacao/ViewModelProgramacao.cs,PR #571,,alta,funcional,Carregar o item anterior sem sair do editor,Load the previous item without leaving the editor,"O editor troca para o item anterior da programação, mantendo o fluxo de trabalho","The editor switches to the previous scheduled item, keeping the workflow going",liberada,Mateus Batalha,2026-09-09,0,,,
QA-ED-24,ed-navegacao,Editor,Informa.CentralNegocios/ViewModel/Programacao/ViewModelProgramacao.cs,PR #571,,alta,funcional,Carregar o próximo item sem sair do editor,Load the next item without leaving the editor,O editor avança para o próximo item da programação sem voltar à janela principal,The editor moves to the next scheduled item without going back to the main window,liberada,Mateus Batalha,2026-09-09,0,,,
QA-ED-25,ed-navegacao,Editor,Informa.CentralNegocios/ViewModel/Programacao/ViewModelProgramacao.cs,PR #571,,media,funcional,Navegação respeita os limites da lista do dia,Navigation respects the limits of the day's list,No primeiro e no último item a navegação não estoura nem carrega item de outro dia,On the first and last item navigation neither overflows nor loads an item from another day,liberada,Mateus Batalha,2026-09-09,0,,,
QA-ED-26,ed-navegacao,CN > Programação,Informa.CentralNegocios/ViewModel/Programacao/ViewModelProgramacao.cs,PR #571,,media,interface,Item carregado no editor acompanha a seleção na programação,The item loaded in the editor follows the selection in the schedule,Navegar pelo editor mantém a programação apontando para o mesmo item,Navigating in the editor keeps the schedule pointing at the same item,nao_implementada,Mateus Batalha,2026-09-09,1,2026-09-09,,
QA-ED-27,ed-salvamento,Editor,Informa.CentralNegocios/Editor/Editor.cs,PR #274,,alta,funcional,Salvar a edição grava os pontos no item do bloco,Saving the edit writes the points to the block item,Todos os pontos ajustados no editor persistem no item da programação,Every point adjusted in the editor persists on the scheduled item,liberada,Mateus Batalha,2026-09-09,0,,,
QA-ED-28,ed-salvamento,CN > Programação,Informa.CentralNegocios/Editor/Editor.cs,PR #274,,alta,interface,Item passa a constar como editado na programação,The item starts showing as edited in the schedule,"Depois de salvar, a programação sinaliza a edição sem precisar recarregar a tela","After saving, the schedule flags the edit with no need to reload the screen",liberada,Mateus Batalha,2026-09-09,0,,,
QA-ED-29,ed-salvamento,Editor,Informa.CentralNegocios/Editor/Editor.cs,PR #274,,alta,funcional,Liberar a mídia sem salvar não altera a programação,Releasing the media without saving does not change the schedule,Fechar sem salvar devolve o item exatamente como estava antes,Closing without saving leaves the item exactly as it was before,liberada,Mateus Batalha,2026-09-09,0,,,
QA-ED-30,ed-salvamento,CN > Programação,Informa.CentralNegocios/Editor/Editor.cs,PR #274,,alta,dados,Falha no salvamento não deixa o item marcado como editado,A save failure does not leave the item flagged as edited,"Se o salvamento falhar, a programação não mente sobre o estado da edição","If the save fails, the schedule does not lie about the state of the edit",liberada,Mateus Batalha,2026-09-15,0,,,
QA-ED-31,ed-salvamento,CN > Programação,Informa.CentralNegocios/Editor/Editor.cs,PR #274,,media,dados,Evento salvo deixa de constar como liberado,A saved event stops showing as released,Após a edição o evento volta ao fluxo de liberação em vez de seguir liberado,After the edit the event goes back into the release flow instead of staying released,nao_testado,,,0,,,
QA-ED-32,ed-sincronizacao,MusicMaster,Informa.MusicMaster.Plugin,PR #347,,alta,integracao,Pontos de edição sincronizados com o MusicMaster,Edit points synchronized with MusicMaster,O que foi marcado no editor chega ao MusicMaster com os mesmos valores,What was marked in the editor reaches MusicMaster with the same values,nao_testado,,,0,,,
QA-ED-33,ed-sincronizacao,MusicMaster > Configurações,Informa.MusicMaster.Plugin/TelaConfiguracoes2.xaml,PR #497,,media,funcional,Opção de não sincronizar pontos de volume e mixagem no integrador legado,Option to skip syncing volume and mix points in the legacy integrator,"Com a opção ligada, o integrador legado deixa esses pontos intactos","With the option on, the legacy integrator leaves those points untouched",liberada,Mateus Batalha,2026-09-15,0,,,
QA-ED-34,ed-sincronizacao,CN > Programação,Informa.Business/ProgramacaoBusiness.cs,,,alta,dados,Ponto de mixagem gravado pelo portal chega correto,The mix point saved by the portal arrives correct,O valor gravado pelo portal é o mesmo que a programação executa,The value saved by the portal is the same one the schedule plays,nao_testado,,,0,,,
QA-ED-35,ed-sincronizacao,Player,Informa.Player,PR #295,,media,integracao,VT já carregado no grid do Player recebe a mixagem atualizada,A VT already loaded in the Player grid gets the updated mix,"Editar a mixagem reflete no VT que já estava no grid, sem recarregar a programação","Editing the mix reflects on the VT already in the grid, with no schedule reload",nao_testado,,,0,,,
QA-ED-36,ed-voicetracker,Remote VoiceTracker,Informa.RemoteVoiceTracker.Business,PR #382,,alta,integracao,Marcação de RunTime enviada ao Remote VoiceTracker,RunTime marking sent to the Remote VoiceTracker,O tempo marcado no editor chega ao Remote VoiceTracker e é usado por ele,The time marked in the editor reaches the Remote VoiceTracker and is used there,nao_testado,,,0,,,
QA-ED-37,ed-voicetracker,Remote VoiceTracker,Informa.RemoteVoiceTracker.Business,PR #347,,alta,integracao,Pontos de edição integrados ao Remote VoiceTracker,Edit points integrated with the Remote VoiceTracker,A gravação remota respeita os pontos definidos no editor,The remote recording respects the points defined in the editor,nao_testado,,,0,,,
QA-ED-38,ed-configuracao,CA > Configuração Geral,Informa.AcessoriosWPF/ucConfiguracaoGeralWPF.xaml,PR #507,CAS-135000-G9Y3B1,alta,funcional,Opção de não remover a edição quando há divergência de tempo,Option to keep the edit when the duration diverges,"Com a opção ligada, recatalogar com tempo diferente preserva a edição existente","With the option on, recataloguing with a different duration preserves the existing edit",nao_testado,,,0,,,
QA-ED-39,ed-configuracao,CA > Catálogo,Informa.ViewModel/ucCatalogoViewModel.cs,PR #507,,alta,funcional,"Com a opção desligada, divergência de tempo remove a edição","With the option off, a duration mismatch removes the edit",O comportamento antigo continua disponível para quem depende dele,The old behavior stays available for whoever relies on it,nao_testado,,,0,,,
QA-ED-40,ed-configuracao,Editor,Informa.EditorMixagem,CAS-117137-H6T0Y9,,baixa,interface,Espectro do áudio exibido em tamanho legível,Audio spectrum shown at a readable size,"A forma de onda ocupa a área disponível, sem ficar pequena demais para editar","The waveform fills the available area, without being too small to edit",nao_testado,,,0,,,
QA-ED-41,ed-resiliencia,Editor,Informa.CentralNegocios/Editor/Editor.cs,PR #274,,alta,funcional,Fechar o editor libera o estado na aplicação,Closing the editor releases the state in the application,"Depois de fechar, a Programação volta a permitir abrir qualquer mídia normalmente","After closing, Scheduling allows opening any media again normally",liberada,Mateus Batalha,2026-09-15,0,,,
QA-ED-42,ed-resiliencia,Editor,Informa.CentralNegocios/Editor/Editor.cs,PR #274,,alta,funcional,Queda anormal do editor não trava a Programação,An abnormal editor crash does not freeze Scheduling,"Se o editor fechar sozinho, a CN continua utilizável e aceita nova chamada","If the editor closes on its own, CN stays usable and accepts a new call",liberada,Mateus Batalha,2026-09-15,0,,,
QA-ED-43,ed-resiliencia,Editor,Informa.CentralNegocios/Editor/Editor.cs,PR #274,,media,dados,Troca rápida de mídias mantém a associação correta,Fast media switching keeps the right association,Carregar várias mídias em sequência não mistura a edição de uma com a de outra,Loading several media in a row does not mix one edit with another,liberada,Mateus Batalha,2026-09-15,0,,,
QA-ED-44,ed-resiliencia,CN > Programação,Informa.CentralNegocios/Editor/Editor.cs,PR #274,,media,funcional,Erro ao carregar a mídia mostra mensagem e não derruba a aplicação,A media load error shows a message and does not bring the application down,"Falha na montagem da mídia vira aviso ao usuário, não fechamento da CN","A failure building the media becomes a warning to the user, not a CN shutdown",liberada,Mateus Batalha,2026-09-15,0,,,
QA-ED-45,ed-resiliencia,CN > Catalogar Mídia,Informa.CentralNegocios/View/Programacao/WinProgramacao.xaml.cs,PR #339,,media,funcional,Editar pela janela de Catalogar Mídia não gera erro,Editing from the Catalogue Media window raises no error,Abrir a edição por esse caminho funciona sem referência nula nem fechamento,Opening the edit through this path works with no null reference and no shutdown,nao_testado,,,0,,,
