id,modulo,rota,stub,uc,rf,prioridade,tipo,titulo_pt,titulo_en,passos_pt,passos_en,criterio_pt,criterio_en,status,verificado,execucao,falha,testado_por,data_teste,devolucoes,ultima_devolucao,referencia,observacoes
QA-VT-11,vt-edicao,/portal,features/portal/portal-api.service.ts,VT-103,MVP 2; P1,alta,integracao,Mudança na origem traz a versão atual ao voltar o foco à aba,A change at the source brings the current version when the tab regains focus,,,Programação alterada fora do app aparece atualizada sem intervenção do operador,A schedule changed outside the app shows updated with no action from the operator,liberada,sim,,,Mateus Batalha,2026-09-14,0,,,
QA-VT-12,vt-edicao,/vt-point,features/vt-point/vt-point-page.component.ts,VT-104,MVP 2; P1,alta,integracao,"Enviar o áudio finalizado em um clique, com confirmação","Send the finished audio in one click, with confirmation",,,O envio conclui e a mensagem diz claramente se deu certo ou não,The upload completes and the message clearly says whether it worked,liberada,sim,,,Mateus Batalha,2026-09-14,1,2026-09-14,,
QA-VT-13,vt-edicao,/vt-point,core/api/audios-api.service.ts,VT-104,MVP 2; P1,alta,integracao,Nova tentativa quando a rede cai no meio do envio,Retry when the network drops mid-upload,,,A gravação não se perde: o sistema tenta de novo e o operador não precisa regravar,The recording is not lost: the system retries and the operator does not have to record again,devolvida,sim,"Testado com conexão ruim, e com queda de acesso repentino a internet durante a gravação da da Voice Track.",E alguns testes o envio da voice track falhou e não foi concretizado. Será verificado com o desenvolvedor.,Mateus Batalha,2026-09-24,1,2026-09-24,,
QA-VT-14,vt-edicao,/vt-point,core/ui/toast/toast.component.ts,VT-104,MVP 2; P1,media,interface,Barra de progresso real do envio,Real upload progress bar,,,"O progresso acompanha o envio de verdade, não uma animação genérica","The progress follows the actual upload, not a generic animation",liberada,sim,,,Mateus Batalha,2026-09-14,0,,,
QA-VT-15,vt-edicao,/vt-point,core/recording-defaults/recording-defaults-dialog.component.ts,VT-105,MVP 2; P1,media,funcional,Escolher entre gravação em 1 clique e em 3 cliques,Choose between 1-click and 3-click recording,,,A escolha fica na configuração e é lembrada entre sessões,The choice lives in the settings and is remembered across sessions,liberada,sim,,,Mateus Batalha,2026-09-24,0,,,
QA-VT-16,vt-edicao,/vt-point,features/vt-point/record-dialog.component.ts,VT-105,MVP 2; P1,media,funcional,"Modo de 3 cliques cobre preparar, gravar e confirmar","3-click mode covers arm, record and confirm",,,Os dois modos se comportam de forma realmente distinta na prática,The two modes actually behave differently in practice,liberada,sim,,,Mateus Batalha,2026-09-24,0,,,
QA-VT-17,vt-hotkeys,/vt-point,,HK-201,MVP 2; P1,alta,funcional,"Painel de Hot Keys configurável, organizado em páginas","Configurable Hot Keys panel, organized in pages",,,Cada botão tem um áudio atribuído e o painel se organiza em páginas ou bancos,Each button has an audio assigned and the panel is organized in pages or banks,nao_implementada,sim,,,Mateus Batalha,2026-09-25,0,,,
QA-VT-18,vt-hotkeys,/vt-point,,HK-201,MVP 2; P1,alta,funcional,"Disparo instantâneo, sem atraso perceptível","Instant trigger, with no perceptible delay",,,Entre o clique e o som não há atraso que atrapalhe a locução,Between the click and the sound there is no delay that gets in the way of the voice track,nao_implementada,sim,,,Mateus Batalha,2026-09-25,0,,,
QA-VT-19,vt-hotkeys,/vt-point,core/audio/audio-engine.service.ts,HK-201,MVP 2; P1,alta,funcional,Áudio do botão toca junto com a gravação sem travar a tela,The button audio plays along with the recording without freezing the screen,,,Disparar durante a gravação não engasga a interface nem corta a captação,Triggering during the recording neither stutters the interface nor cuts the capture,nao_implementada,sim,,,Mateus Batalha,2026-09-25,0,,,
QA-VT-20,vt-hotkeys,/vt-point,core/shortcuts/shortcuts.service.ts,HK-201,MVP 2; P1,media,funcional,Disparar Hot Key por clique ou por atalho de teclado,Trigger a Hot Key by click or keyboard shortcut,,,"Os dois caminhos disparam o mesmo áudio, com o mesmo resultado","Both paths trigger the same audio, with the same result",nao_implementada,sim,,,Mateus Batalha,2026-09-25,0,,,
QA-VT-21,vt-hotkeys,/vt-point,core/audio/audio-engine.service.ts,HK-202,MVP 2; P1,alta,funcional,Volume do bed independente da voz e da música,Bed volume independent from voice and music,,,Mexer no volume da base não altera o volume da locução nem o da música,Changing the bed volume does not change the voice or the music volume,liberada,sim,,,Mateus Batalha,2026-09-24,0,,,
QA-VT-22,vt-hotkeys,/vt-point,,HK-202,MVP 2; P1,media,funcional,Nível do bed lembrado por botão,Bed level remembered per button,,,O ajuste feito em um Hot Key volta igual na próxima gravação,The adjustment made on a Hot Key comes back identical in the next recording,liberada,sim,,,Mateus Batalha,2026-09-24,0,,,
QA-VT-23,vt-hotkeys,/vt-point,,HK-203,MVP 2; P1,media,funcional,Renomear Hot Key e o nome ser lembrado,Rename a Hot Key and have the name remembered,,,Qualquer botão aceita nome próprio e o nome permanece entre sessões,Any button accepts its own name and the name stays across sessions,nao_implementada,sim,,,Mateus Batalha,2026-09-25,0,,,
QA-VT-24,vt-hotkeys,/vt-point,,HK-203,MVP 2; P1,alta,funcional,Hot Key armado entra na gravação no momento certo,An armed Hot Key lands in the recording at the right moment,,,O disparo do botão armado aparece no áudio final na posição em que foi acionado,The armed button trigger appears in the final audio at the position where it was fired,nao_implementada,sim,,,Mateus Batalha,2026-09-25,0,,,
QA-VT-25,vt-rede,/vt-point,,NR-301,MVP 2; P1,alta,funcional,Escolher perfil de conexão que muda gravação e envio,Choose a connection profile that changes recording and upload,,,"Trocar de perfil altera de fato o comportamento, não só o rótulo na tela","Switching profile actually changes behavior, not just the label on screen",liberada,sim,,Nenhuma mudança de,Mateus Batalha,2026-09-25,0,,,
QA-VT-26,vt-rede,/vt-point,,NR-301,MVP 2; P1,media,funcional,Perfil de conexão lembrado por usuário,Connection profile remembered per user,,,"Cada operador reencontra o perfil que escolheu, sem reconfigurar","Each operator finds the profile they chose, with no reconfiguring",nao_testado,nao,,,,,0,,,
QA-VT-27,vt-rede,/vt-point,core/api/audios-api.service.ts,NR-302,MVP 2; P1,media,integracao,Envio em formato leve aceito pelo destino,Upload in a lighter format accepted by the destination,,,O formato padrão de envio é leve e o destino o aceita sem conversão manual,The default upload format is light and the destination accepts it with no manual conversion,nao_testado,nao,,,,,0,,,
QA-VT-28,vt-rede,/vt-point,,NR-302,MVP 2; P1,alta,integracao,Formato de envio muda conforme o perfil de conexão,Upload format changes with the connection profile,,,Em perfil de rede ruim o arquivo enviado é mais leve; em rede boa mantém a qualidade,On a poor network profile the uploaded file is lighter; on a good one quality is kept,nao_testado,nao,,,,,0,,,
QA-VT-29,vt-rede,,,NR-302,MVP 2; P1,alta,integracao,Caminho validado de ponta a ponta até a programação musical,Path validated end to end up to the music scheduling system,,,O voice track enviado aparece corretamente no sistema de programação musical,The uploaded voice track shows correctly in the music scheduling system,nao_testado,nao,,,,,0,,,
QA-VT-30,vt-rede,/vt-point,,NR-303,MVP 2; P1,media,interface,Indicador reflete a conexão em amarelo e vermelho,Indicator reflects the connection in yellow and red,,,Nas duas telas de trabalho o indicador acompanha a medição real da rede,On both work screens the indicator follows the real network measurement,nao_testado,nao,,,,,0,,,
QA-VT-31,vt-rede,/vt-point,,NR-303,MVP 2; P1,media,interface,Estado verde para conexão boa,Green state for a good connection,,,"Com a rede boa o operador vê o verde, e não a ausência de sinalização","With a good network the operator sees green, not the absence of any signal",nao_testado,nao,,,,,0,,,
QA-VT-32,vt-rede,/vt-point,,NR-303,MVP 2; P1,alta,funcional,Alerta antes de gravar quando a rede está ruim demais,Warning before recording when the network is too poor,,,"O operador é avisado antes de começar, não depois de perder o envio","The operator is warned before starting, not after losing the upload",nao_testado,nao,,,,,0,,,
QA-VT-33,vt-multisite,/portal,,MS-501,MVP 2; P2,alta,funcional,Distribuir um voice track para várias estações numa única ação,Distribute one voice track to several stations in a single action,,,"O operador escolhe as estações e dispara uma vez só, sem regravar por praça","The operator picks the stations and fires once, with no re-recording per market",nao_testado,nao,,,,,0,,,
QA-VT-34,vt-multisite,/portal,,MS-501,MVP 2; P2,alta,integracao,Cada destino confirma individualmente o recebimento,Each destination confirms receipt individually,,,"Dá para ver, estação por estação, quem recebeu e quem não recebeu","It is possible to see, station by station, who received it and who did not",nao_testado,nao,,,,,0,,,
QA-VT-35,vt-multisite,/portal,,MS-501,MVP 2; P2,alta,funcional,Falha em um destino não bloqueia os demais e permite reprocessar,A failure at one destination does not block the others and allows reprocessing,,,Os destinos que deram certo seguem; os que falharam podem ser reenviados,The destinations that succeeded move on; the failed ones can be resent,nao_testado,nao,,,,,0,,,
QA-VT-36,vt-multisite,/portal,,MS-502,MVP 2; P2,media,funcional,"Criar, editar e excluir grupos de estações","Create, edit and delete station groups",,,O grupo salvo continua disponível e reflete as alterações feitas nele,A saved group stays available and reflects the changes made to it,nao_testado,nao,,,,,0,,,
QA-VT-37,vt-multisite,/portal,,MS-502,MVP 2; P2,media,funcional,Distribuir para um grupo inteiro numa única ação,Distribute to a whole group in a single action,,,"Escolher o grupo equivale a marcar cada estação dele, sem esquecer nenhuma","Choosing the group is the same as ticking each of its stations, missing none",nao_testado,nao,,,,,0,,,
QA-VT-38,vt-plataforma,/portal,,PL-401,MVP 3; P2,media,interface,Compor a área de trabalho com até seis painéis,Compose the workspace with up to six panels,,,O operador escolhe e posiciona os painéis que quer ver lado a lado,The operator picks and places the panels they want side by side,nao_implementada,sim,,,Mateus Batalha,2026-09-23,0,,,
QA-VT-39,vt-plataforma,/portal,core/theme/theme.service.ts,PL-401,MVP 3; P2,media,funcional,Layout da área de trabalho lembrado entre sessões,Workspace layout remembered across sessions,,,O arranjo escolhido volta igual no próximo acesso do mesmo usuário,The chosen arrangement comes back identical on the same user's next visit,nao_implementada,sim,,,Mateus Batalha,2026-09-24,0,,,
QA-VT-40,vt-plataforma,/portal,,PL-401,MVP 3; P2,media,funcional,"Grade, editor e Hot Keys funcionam como painéis da área de trabalho","Grid, editor and Hot Keys work as workspace panels",,,"Cada um opera normalmente dentro do painel, sem perder função","Each one operates normally inside the panel, with no loss of function",nao_implementada,sim,,,Mateus Batalha,2026-09-24,0,,,
QA-VT-41,vt-plataforma,/portal,,PL-402,MVP 3; P2,alta,funcional,Presença e atualização ao vivo entre vários usuários,Presence and live updates across several users,,,"Dois ou mais usuários veem quem está online e o que muda, sem recarregar","Two or more users see who is online and what changes, with no reload",nao_testado,nao,,,,,0,,,
QA-VT-42,vt-plataforma,/portal,,PL-402,MVP 3; P2,alta,funcional,Trava impede dois editando o mesmo voice track,A lock prevents two people editing the same voice track,,,"O conflito é resolvido com clareza de autoria, sem sobrescrever trabalho alheio","The conflict resolves with clear authorship, without overwriting anyone's work",nao_testado,nao,,,,,0,,,
QA-VT-43,vt-plataforma,/portal,,PL-402,MVP 3; P2,alta,funcional,Queda e volta da conexão sem perder trabalho,Connection drop and recovery without losing work,,,"Ao reconectar, o que estava em andamento continua de onde parou","On reconnect, what was under way continues from where it stopped",nao_testado,nao,,,,,0,,,
QA-VT-44,vt-plataforma,/portal,features/portal/portal-page.component.ts,PL-403,MVP 3; P2,media,funcional,"Reordenar, mover e adicionar itens da grade arrastando","Reorder, move and add grid items by dragging",,,A manipulação por arrastar-e-soltar reflete a intenção do operador na grade,Drag-and-drop manipulation reflects the operator's intent on the grid,nao_testado,nao,,,,,0,,,
QA-VT-45,vt-plataforma,/portal,features/portal/portal-api.service.ts,PL-403,MVP 3; P2,alta,integracao,Mudanças da grade salvas na programação de origem,Grid changes saved to the source schedule,,,"O que foi arrastado na tela persiste no sistema de origem, não só na sessão","What was dragged on screen persists in the source system, not only in the session",nao_testado,nao,,,,,0,,,
QA-VT-46,vt-plataforma,/portal,,PL-403,MVP 3; P2,alta,funcional,Travas de edição evitam conflito na grade a várias mãos,Edit locks avoid conflict on a grid handled by several people,,,"Com mais de um usuário, ninguém sobrescreve a alteração do outro","With more than one user, nobody overwrites another person's change",nao_testado,nao,,,,,0,,,
QA-VT-47,vt-plataforma,/portal,,PL-404,MVP 3; P3,baixa,integracao,Painel mostra o status de cada dependência em tempo quase real,Panel shows each dependency status in near real time,,,"Programação e áudio aparecem como no ar ou fora do ar, com tempo de resposta","Scheduling and audio show as up or down, with response time",nao_testado,nao,,,,,0,,,
QA-VT-48,vt-plataforma,/portal,,PL-404,MVP 3; P3,baixa,interface,Degradação do sistema fica evidente no painel,System degradation is evident on the panel,,,"Algo lento ou fora do ar salta aos olhos, sem precisar interpretar número","Something slow or down stands out, with no number to interpret",nao_testado,nao,,,,,0,,,
QA-VT-49,vt-plataforma,/vt-point,core/shortcuts/shortcuts-dialog.component.ts,PL-405,MVP 3; P3,baixa,interface,F1 abre a ajuda da tela atual,F1 opens the help for the current screen,,,A ajuda que abre corresponde à tela ou painel em que o usuário está,The help that opens matches the screen or panel the user is on,nao_testado,nao,,,,,0,,,
QA-VT-50,vt-plataforma,/vt-point,,PL-405,MVP 3; P3,baixa,interface,Controles principais têm dicas explicativas,Main controls have explanatory tips,,,Passar o mouse nos controles centrais explica o que cada um faz,Hovering the central controls explains what each one does,nao_testado,nao,,,,,0,,,
QA-VT-51,vt-onair,,,OA-601,MVP 3; P3,media,integracao,"Tocar, pausar e parar integrado à execução ao vivo","Play, pause and stop integrated with live playout",,,"Os comandos agem na execução real, não apenas na prévia do navegador","The commands act on the real playout, not only on the browser preview",nao_testado,nao,,,,,0,,,
QA-VT-52,vt-onair,,,OA-601,MVP 3; P3,media,funcional,Sequências de elementos executam na ordem correta,Element sequences run in the correct order,,,"O encadeamento respeita a ordem montada, sem pular nem repetir item","The chaining respects the assembled order, without skipping or repeating an item",nao_testado,nao,,,,,0,,,
QA-VT-53,vt-onair,,core/api/audios-api.service.ts,LB-601,MVP 3; P3,media,funcional,Buscar e filtrar áudios da biblioteca por suas informações,Search and filter library audio by its metadata,,,"Nome, categoria e demais informações devolvem o material esperado","Name, category and other metadata return the expected material",nao_testado,nao,,,,,0,,,
QA-VT-54,vt-onair,,,LB-601,MVP 3; P3,media,funcional,Carregamento automático traz o áudio ao contexto de trabalho,Auto-load brings the audio into the working context,,,O áudio escolhido na biblioteca entra na edição ou na execução sem passo manual,The audio chosen in the library enters editing or playout with no manual step,nao_testado,nao,,,,,0,,,
QA-VT-55,vt-seguranca,,core/auth/auth.service.ts,SC-701,MVP 3; P2,alta,permissao,Login com verificação em duas etapas,Sign-in with two-factor verification,,,O acesso na nuvem exige o segundo fator e recusa quem não o apresenta,Cloud access requires the second factor and refuses whoever does not present it,nao_implementada,sim,,,Mateus Batalha,2026-09-25,0,,,
QA-VT-56,vt-seguranca,,core/http,SC-701,MVP 3; P2,alta,permissao,Acesso sem VPN com separação total entre empresas,VPN-free access with full separation between companies,,,Trabalhar de fora não exige VPN e nenhuma empresa enxerga dado de outra,Working remotely requires no VPN and no company sees another company's data,liberada,sim,,,Mateus Batalha,2026-09-25,0,,,
QA-VT-57,vt-seguranca,/admin,,SC-702,MVP 3; P3,media,permissao,"Administrador cria, atualiza e revoga acessos pela interface","Administrator creates, updates and revokes access from the interface",,,"A gestão de acessos é feita na tela, sem depender da equipe técnica","Access management happens on screen, with no dependency on the technical team",liberada,sim,,,Mateus Batalha,2026-09-25,0,,,
QA-VT-58,vt-seguranca,/admin,,SC-702,MVP 3; P3,alta,permissao,Portal de administração restrito a perfil de administrador,Admin portal restricted to the administrator role,,,"Usuário sem perfil de administrador não acessa a área, nem digitando a URL","A user without the administrator role does not reach the area, not even by typing the URL",liberada,sim,,,Mateus Batalha,2026-09-25,0,,,
QA-VT-59,vt-seguranca,/portal,,SC-703,MVP 3; P3,media,funcional,Ver e aplicar substituições sugeridas,See and apply suggested replacements,,,A sugestão escolhida substitui a música na programação e o resultado aparece na grade,The chosen suggestion replaces the song in the schedule and the result shows on the grid,liberada,sim,,,Mateus Batalha,2026-09-25,0,,,
QA-VT-60,vt-seguranca,/portal,,SC-703,MVP 3; P3,baixa,funcional,Regras e histórico consultáveis na interface,Rules and history available in the interface,,,O coordenador consulta as regras da emissora e o histórico sem sair do sistema,The coordinator checks the station rules and the history without leaving the system,nao_implementada,sim,,,Mateus Batalha,2026-09-25,0,,,
